code_system,code,code_description,code_lay_term,code_range_1,code_range_1_description,code_range_2,code_range_2_description,code_range_3,code_range_3_description,code_range_4,code_range_4_description,code_range_5,code_range_5_description,code_range_6,code_range_6_description
HCPCS,A4271,"Integrated lancing and blood sample testing cartridges for home blood glucose monitor, per 50 tests",,A4206-A8004,Medical And Surgical Supplies,A4244-A4297,Other Supplies Including Diabetes Supplies and Contraceptives,,,,,,,,
HCPCS,A4280,"Adhesive skin support attachment for use with external breast prosthesis, each",,A4206-A8004,Medical And Surgical Supplies,A4244-A4297,Other Supplies Including Diabetes Supplies and Contraceptives,,,,,,,,
HCPCS,A4281,"Tubing for breast pump, replacement",,A4206-A8004,Medical And Surgical Supplies,A4244-A4297,Other Supplies Including Diabetes Supplies and Contraceptives,,,,,,,,
HCPCS,A4282,"Adapter for breast pump, replacement",,A4206-A8004,Medical And Surgical Supplies,A4244-A4297,Other Supplies Including Diabetes Supplies and Contraceptives,,,,,,,,
HCPCS,A4283,"Cap for breast pump bottle, replacement",,A4206-A8004,Medical And Surgical Supplies,A4244-A4297,Other Supplies Including Diabetes Supplies and Contraceptives,,,,,,,,
HCPCS,A4284,"Breast shield and splash protector for use with breast pump, replacement",,A4206-A8004,Medical And Surgical Supplies,A4244-A4297,Other Supplies Including Diabetes Supplies and Contraceptives,,,,,,,,
HCPCS,A4285,"Polycarbonate bottle for use with breast pump, replacement",,A4206-A8004,Medical And Surgical Supplies,A4244-A4297,Other Supplies Including Diabetes Supplies and Contraceptives,,,,,,,,
HCPCS,A4286,"Locking ring for breast pump, replacement",,A4206-A8004,Medical And Surgical Supplies,A4244-A4297,Other Supplies Including Diabetes Supplies and Contraceptives,,,,,,,,
HCPCS,A4287,"Disposable collection and storage bag for breast milk, any size, any type, each",,A4206-A8004,Medical And Surgical Supplies,A4244-A4297,Other Supplies Including Diabetes Supplies and Contraceptives,,,,,,,,
HCPCS,A4288,"Valve for breast pump, replacement",,A4206-A8004,Medical And Surgical Supplies,A4244-A4297,Other Supplies Including Diabetes Supplies and Contraceptives,,,,,,,,
HCPCS,A4290,"Sacral nerve stimulation test lead, each",,A4206-A8004,Medical And Surgical Supplies,A4244-A4297,Other Supplies Including Diabetes Supplies and Contraceptives,,,,,,,,
HCPCS,A4295,"Intermittent urinary catheter; straight tip, hydrophilic coating, each",,A4206-A8004,Medical And Surgical Supplies,A4244-A4297,Other Supplies Including Diabetes Supplies and Contraceptives,,,,,,,,
HCPCS,A4296,"Intermittent urinary catheter; coude (curved) tip, hydrophilic coating, each",,A4206-A8004,Medical And Surgical Supplies,A4244-A4297,Other Supplies Including Diabetes Supplies and Contraceptives,,,,,,,,
HCPCS,A4297,"Intermittent urinary catheter; hydrophilic coating, with insertion supplies",,A4206-A8004,Medical And Surgical Supplies,A4244-A4297,Other Supplies Including Diabetes Supplies and Contraceptives,,,,,,,,
HCPCS,A4300,"Implantable access catheter, (e, g., venous, arterial, epidural subarachnoid, or peritoneal, etc.) external access",,A4206-A8004,Medical And Surgical Supplies,A4300-A4306,Access Catheters and Drug Delivery Systems,,,,,,,,
HCPCS,A4301,"Implantable access total catheter, port/reservoir (e.g., venous, arterial, epidural, subarachnoid, peritoneal, etc.)",,A4206-A8004,Medical And Surgical Supplies,A4300-A4306,Access Catheters and Drug Delivery Systems,,,,,,,,
HCPCS,A4305,"Disposable drug delivery system, flow rate of 50 ml or greater per hour",,A4206-A8004,Medical And Surgical Supplies,A4300-A4306,Access Catheters and Drug Delivery Systems,,,,,,,,
HCPCS,A4306,"Disposable drug delivery system, flow rate of less than 50 ml per hour",,A4206-A8004,Medical And Surgical Supplies,A4300-A4306,Access Catheters and Drug Delivery Systems,,,,,,,,
